duration,src_bytes,dst_bytes,count,srv_count
2,219359,5217023,2092,5251
2,208939,5024049,2011,5364
2,8989,70550,59,69
2,4294,87160,59,74
2,21134,249686,145,297
2,24726,868077,335,918
2,3126,47071,32,41
2,8635,55076,53,59
2,7907,68888,59,70
2,89424,801833,402,957
2,218762,5656507,2213,6088
2,188190,5134552,1977,5461
2,76430,1975795,863,1767
2,2086,55976,31,44
2,89969,2106624,652,2015
2,32532,105190,128,139
2,69178,997114,401,1031
2,36740,135296,117,162
2,27140,742279,294,793
2,16552,53491,102,96
2,46359,91508,126,130
2,2848,31676,27,32
2,27952,70755,83,90
2,1406,19195,19,19
2,35754,93729,153,165
2,7523,51606,59,60
2,12398,60391,60,69
2,37836,90273,169,166
2,42526,127221,231,272
2,3837,94900,54,77
2,8820,84558,72,84
2,21486,134110,174,184
2,182464,438946,710,783
2,76671,470323,394,587
2,18794,150388,120,140
2,22122,157168,132,163
2,28713,95573,115,116
2,115081,2399765,583,1961
2,13643,72318,73,72
2,33652,1756299,312,1394
2,115512,3580746,906,2851
2,85008,578601,376,661
2,51758,461008,332,522
2,96478,1973267,642,1713
2,144365,1994238,1265,1638
2,34124,580850,297,468
2,26282,165183,143,173
2,32513,1359616,217,1092
2,18403,67310,92,95
2,3722,41689,34,38
2,13935,204386,44,174
2,10850,724939,98,574
2,17257,829627,102,657
2,2865,36568,38,36
2,17388,118845,133,152
2,7821,108058,102,127
2,32544,1192370,211,953
2,7225,145294,94,112
2,5621,107810,69,87
2,25962,781698,173,658
2,9288,192636,77,151
2,21735,520433,178,418
2,12010,470748,110,370
2,24172,931625,208,749
2,6528,171662,90,134
2,4276,110580,60,86
2,14773,586389,114,462
2,14263,324773,100,260
2,23281,912312,142,724
2,4881,114671,69,90
2,3490,86062,49,67
